"sample_index","timestamp_ms","ch0","ch1","ch2","ch3","ch4","ch5","ch6"
"0","2152956","-37.67","99.06","137.6","242.13","277.34","25.87","-18.67"
"1","2152963","-4.67","-125.94","-133.4","-138.87","223.34","7.87","-111.67"
"2","2152976","-11.67","-347.94","-1.4","-4.87","142.34","31.87","-126.67"
"3","2152989","-7.67","546.06","83.6","162.13","-555.66","-29.13","200.33"
"4","2153001","-31.67","-856.94","146.6","21.13","4.34","35.87","177.33"
"5","2153014","1.33","56.06","159.6","56.13","167.34","63.87","148.33"
"6","2153026","-18.67","259.06","40.6","53.13","-198.66","-27.13","-108.67"
"7","2153038","15.33","-905.94","59.6","58.13","398.34","40.87","-149.67"
"8","2153051","-214.67","873.06","-104.4","-66.87","-462.66","16.87","123.33"
"9","2153064","11.33","-357.94","0.6","-57.87","-92.66","-44.13","-135.67"
"10","2153075","-5.67","316.06","104.6","43.13","419.34","-7.13","65.33"
"11","2153089","27.33","1026.06","172.6","150.13","-280.66","8.87","249.33"
"12","2153101","6.33","-730.94","173.6","130.13","-171.66","76.87","237.33"
"13","2153114","32.33","324.06","45.6","-28.87","-148.66","-55.13","174.33"
"14","2153125","-34.67","184.06","-145.4","40.13","-88.66","9.87","93.33"
"15","2153138","-62.67","-850.94","145.6","42.13","55.34","34.87","203.33"
"16","2153151","21.33","1116.06","112.6","-29.87","-82.66","34.87","-129.67"
"17","2153163","-18.67","7.06","127.6","136.13","283.34","-0.13","-156.67"
"18","2153176","24.33","-491.94","34.6","34.13","390.34","-50.13","-149.67"
"19","2153188","-4.67","795.06","-295.4","-64.87","20.34","60.87","-116.67"
"20","2153201","6.33","-856.94","10.6","17.13","272.34","75.87","62.33"
"21","2153214","-13.67","642.06","79.6","-109.87","339.34","-9.13","-143.67"
"22","2153226","-16.67","622.06","35.6","-19.87","-301.66","-12.13","-155.67"
"23","2153238","-15.67","-904.94","64.6","21.13","374.34","13.87","15.33"
"24","2153250","0.33","1030.06","-173.4","65.13","23.34","-6.13","-166.67"
"25","2153264","-69.67","-44.94","118.6","-72.87","238.34","12.87","-147.67"
"26","2153276","-52.67","-167.94","139.6","-125.87","195.34","7.87","-128.67"
"27","2153289","51.33","-64807.94","-171.4","-9.87","-294.66","58.87","-191.67"
"28","2153300","7.33","-238.94","40.6","249.13","57.34","9.87","229.33"
"29","2153313","1.33","195.06","-52.4","-155.87","238.34","66.87","-188.67"
"30","2153326","-29.67","319.06","-54.4","-262.87","-106.66","-10.13","-162.67"
"31","2153338","25.33","-818.94","104.6","97.13","388.34","-44.13","-103.67"
"32","2153351","-8.67","855.06","-178.4","-261.87","-33.66","-11.13","-181.67"
